Area Codes;lsoanm;All Ages;0-15;Working.age;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90
E01000107;Barking and Dagenham 010C;1696;389;1023;22;28;31;30;34;19;31;26;26;22;23;18;23;20;23;13;17;35;21;19;16;17;24;22;18;22;18;18;17;15;19;35;16;20;17;24;18;32;23;26;22;15;32;27;23;29;21;22;14;26;21;22;35;22;32;21;23;19;11;16;11;14;11;12;13;19;11;17;16;9;12;12;10;6;12;6;16;16;13;13;4;6;10;8;7;8;9;11;9;4;20
E01000108;Barking and Dagenham 010D;1736;445;1080;42;42;39;49;27;29;29;29;26;23;18;13;18;14;20;27;22;24;29;18;18;22;23;21;29;25;26;18;22;23;24;26;24;27;23;29;36;22;21;26;32;27;20;23;28;21;20;26;26;22;25;18;27;30;20;15;18;15;15;20;8;18;6;12;10;14;12;10;20;14;17;8;16;11;10;3;4;9;9;8;7;10;5;1;5;3;5;2;4;3;1
E01000066;Barking and Dagenham 011A;2109;542;1365;39;37;42;32;32;29;42;41;40;29;30;26;39;37;27;20;36;37;36;30;32;36;32;36;35;36;29;26;35;26;33;48;36;29;34;37;39;30;31;31;23;37;17;25;35;27;32;31;30;25;24;22;26;22;25;23;21;25;13;10;9;17;16;9;11;13;18;18;17;5;7;8;9;7;6;10;6;10;3;9;4;2;4;5;6;6;7;5;1;5;11
E01000067;Barking and Dagenham 011B;2139;484;1430;31;30;41;32;41;37;31;32;22;31;31;27;21;22;30;25;29;38;34;36;25;40;24;43;36;48;35;48;34;31;34;35;29;34;33;37;25;29;34;30;29;31;19;31;26;26;25;31;29;25;19;25;40;34;30;22;27;14;13;19;12;15;30;20;17;16;14;9;12;13;6;12;7;8;5;5;7;5;7;16;10;6;7;10;4;6;6;3;4;3;24
E01000069;Barking and Dagenham 011C;1854;426;1234;27;20;35;33;29;21;16;25;39;28;22;21;22;28;32;28;31;34;26;33;30;32;31;30;33;29;32;31;27;35;20;19;24;23;14;31;26;31;29;27;34;32;21;19;28;27;21;14;25;15;21;33;25;29;23;20;22;25;21;16;27;12;19;13;14;9;10;8;17;10;9;9;2;11;3;14;7;16;10;4;6;6;4;11;3;6;3;2;0;8;6
E01000070;Barking and Dagenham 011D;2122;466;1385;20;28;25;27;27;34;32;34;54;30;25;23;28;28;33;18;28;33;28;33;24;29;29;38;25;45;44;40;37;53;53;26;31;23;39;36;33;38;37;33;25;31;22;21;21;21;30;23;18;16;9;22;34;20;28;28;22;23;26;23;18;18;13;18;20;22;9;17;20;11;13;12;14;6;10;13;4;16;9;14;12;7;10;11;5;5;4;3;5;3;16
E01000071;Barking and Dagenham 011E;2542;620;1644;47;46;55;47;48;40;33;34;39;35;33;29;29;31;38;36;24;43;39;28;28;32;33;35;47;45;45;66;42;64;57;54;44;42;47;43;36;42;35;25;50;34;40;18;31;36;32;32;27;23;21;20;18;27;24;30;29;29;22;14;21;22;20;15;13;16;14;15;13;17;13;12;9;6;6;16;12;17;7;5;10;7;7;8;11;8;5;6;6;2;30
E01000057;Barking and Dagenham 012A;1548;433;955;18;35;25;25;28;28;31;50;42;27;25;18;17;19;18;27;14;15;20;20;14;22;19;14;16;23;19;19;30;29;21;26;15;19;21;28;41;31;37;27;30;16;17;27;15;18;15;26;15;17;18;13;14;19;18;15;14;15;11;17;13;13;15;10;14;19;13;10;12;10;8;8;4;4;1;9;5;5;9;3;6;4;3;1;5;2;1;3;5;1;9
E01000073;Barking and Dagenham 012B;1780;534;1061;30;35;42;39;44;42;30;44;40;33;24;31;28;21;22;29;14;18;22;16;17;23;18;25;22;17;26;25;26;17;28;27;28;35;39;22;26;27;30;18;31;20;28;27;28;33;24;29;23;22;24;21;24;22;13;12;17;11;14;11;15;13;13;11;9;14;11;17;15;6;14;5;7;3;3;9;7;3;5;7;2;7;11;7;5;4;7;1;4;3;8
E01000074;Barking and Dagenham 012C;1639;470;1018;26;24;18;29;35;32;27;45;34;39;38;22;24;31;28;18;18;19;23;17;15;14;18;15;19;19;20;20;29;19;27;38;35;19;25;25;25;19;21;29;28;32;21;23;20;29;24;13;14;21;20;20;23;19;13;23;20;15;21;16;18;21;13;12;11;6;12;11;14;1;5;6;7;9;11;4;3;6;4;2;7;2;5;5;4;4;8;2;1;4;8
