"","LSOA11NM","LSOA11CD","MSOA11CD","MSOA11NM","LAD11CD","LAD11NM","RGN11CD","RGN11NM","USUALRES","HHOLDRES","COMESTRES","POPDEN","HHOLDS","AVHHOLDSZ","LA.CODE","LA.NAME","X","IMD2007","INCOME2007","EMPLOYMENT2007","EDUCATION2007","IMD","Income","Employment","Education","dif_IMD","dif_income","dif_employ","dif_edu"
"25","Barking and Dagenham 007A","E01000065","E02000008","Barking and Dagenham 007","E09000002","Barking and Dagenham","E12000007","London",1736,1736,0,74.3,774,2.2,"00AB","Barking and Dagenham",NA,5453,5383,5486,4987,4604,4733,5327,9073,-849,-650,-159,4086
"47","Barking and Dagenham 011A","E01000066","E02000012","Barking and Dagenham 011","E09000002","Barking and Dagenham","E12000007","London",1928,1928,0,78.7,683,2.8,"00AB","Barking and Dagenham",NA,10036,10069,11294,14816,11307,12039,11912,13615,1271,1970,618,-1201
"48","Barking and Dagenham 011B","E01000067","E02000012","Barking and Dagenham 011","E09000002","Barking and Dagenham","E12000007","London",1969,1969,0,102.3,679,2.9,"00AB","Barking and Dagenham",NA,13231,11033,14231,14931,13473,11250,16419,15606,242,217,2188,675
"75","Barking and Dagenham 016E","E01000068","E02000017","Barking and Dagenham 016","E09000002","Barking and Dagenham","E12000007","London",1590,1575,15,46.8,462,3.4,"00AB","Barking and Dagenham",NA,11547,12530,15653,15226,10292,11550,15677,17504,-1255,-980,24,2278
"49","Barking and Dagenham 011C","E01000069","E02000012","Barking and Dagenham 011","E09000002","Barking and Dagenham","E12000007","London",1763,1756,7,87.9,513,3.4,"00AB","Barking and Dagenham",NA,18796,20887,17421,16346,17845,17702,18273,16557,-951,-3185,852,211
"50","Barking and Dagenham 011D","E01000070","E02000012","Barking and Dagenham 011","E09000002","Barking and Dagenham","E12000007","London",1975,1975,0,50.4,598,3.3,"00AB","Barking and Dagenham",NA,12665,16591,16991,18484,13517,13998,15265,17358,852,-2593,-1726,-1126
"51","Barking and Dagenham 011E","E01000071","E02000012","Barking and Dagenham 011","E09000002","Barking and Dagenham","E12000007","London",2253,2251,2,83.3,785,2.9,"00AB","Barking and Dagenham",NA,16406,13641,20843,17577,15618,12559,21513,16753,-788,-1082,670,-824
"80","Barking and Dagenham 017E","E01000072","E02000018","Barking and Dagenham 017","E09000002","Barking and Dagenham","E12000007","London",1991,1991,0,38.3,784,2.5,"00AB","Barking and Dagenham",NA,4886,3434,6921,5368,3339,4319,6679,6730,-1547,885,-242,1362
"53","Barking and Dagenham 012B","E01000073","E02000013","Barking and Dagenham 012","E09000002","Barking and Dagenham","E12000007","London",1619,1619,0,56.9,627,2.6,"00AB","Barking and Dagenham",NA,6630,5430,9366,2801,4652,5189,7138,5991,-1978,-241,-2228,3190
"54","Barking and Dagenham 012C","E01000074","E02000013","Barking and Dagenham 012","E09000002","Barking and Dagenham","E12000007","London",1567,1567,0,95.4,629,2.5,"00AB","Barking and Dagenham",NA,7297,5992,6722,6373,6035,5018,8350,8265,-1262,-974,1628,1892
"55","Barking and Dagenham 012D","E01000075","E02000013","Barking and Dagenham 012","E09000002","Barking and Dagenham","E12000007","London",1732,1732,0,33.5,622,2.8,"00AB","Barking and Dagenham",NA,6644,6517,7353,5345,4926,6152,8547,7489,-1718,-365,1194,2144
"56","Barking and Dagenham 012E","E01000076","E02000013","Barking and Dagenham 012","E09000002","Barking and Dagenham","E12000007","London",1988,1982,6,104.2,710,2.8,"00AB","Barking and Dagenham",NA,4598,3616,4807,2520,4787,5360,5072,5920,189,1744,265,3400
"37","Barking and Dagenham 008F","E01000077","E02000009","Barking and Dagenham 008","E09000002","Barking and Dagenham","E12000007","London",1445,1437,8,83.1,560,2.6,"00AB","Barking and Dagenham",NA,6565,5787,6903,4614,5549,5028,6213,7009,-1016,-759,-690,2395
"26","Barking and Dagenham 007B","E01000078","E02000008","Barking and Dagenham 007","E09000002","Barking and Dagenham","E12000007","London",1666,1666,0,94.8,649,2.6,"00AB","Barking and Dagenham",NA,5241,3849,6668,4072,5435,3847,8895,6840,194,-2,2227,2768
"42","Barking and Dagenham 009E","E01000079","E02000010","Barking and Dagenham 009","E09000002","Barking and Dagenham","E12000007","London",1546,1546,0,49.9,609,2.5,"00AB","Barking and Dagenham",NA,6922,6346,7428,5490,5302,5300,6830,8613,-1620,-1046,-598,3123
"27","Barking and Dagenham 007C","E01000080","E02000008","Barking and Dagenham 007","E09000002","Barking and Dagenham","E12000007","London",1556,1556,0,67.3,594,2.6,"00AB","Barking and Dagenham",NA,6329,5968,5764,6048,6505,5965,5991,10366,176,-3,227,4318
"28","Barking and Dagenham 007D","E01000081","E02000008","Barking and Dagenham 007","E09000002","Barking and Dagenham","E12000007","London",1688,1688,0,90.9,648,2.6,"00AB","Barking and Dagenham",NA,6873,8695,7197,3733,7418,8504,8765,7667,545,-191,1568,3934
