Codes;Names;pop0-15;Working age
E01000689;Bromley 002A;267;868
E01000690;Bromley 002B;297;912
E01000691;Bromley 002C;269;902
E01000692;Bromley 002D;327;1027
E01000693;Bromley 010A;306;871
E01000694;Bromley 007C;281;920
E01000695;Bromley 007D;261;880
E01000696;Bromley 007E;244;843
E01000697;Bromley 007F;258;1131
E01000698;Bromley 010B;203;765
E01000699;Bromley 015A;322;1041
E01000700;Bromley 013A;284;1097
E01000701;Bromley 015B;259;1041
E01000702;Bromley 013B;221;915
E01000703;Bromley 013C;281;1010
E01000704;Bromley 015C;320;934
E01000705;Bromley 015D;292;942
E01000706;Bromley 013D;255;842
E01000707;Bromley 017A;388;927
E01000708;Bromley 017B;305;961
E01000709;Bromley 006A;122;809
E01000710;Bromley 006B;127;1162
E01000711;Bromley 006C;155;1211
E01000712;Bromley 012A;179;1140
E01000713;Bromley 012B;194;1084
E01000714;Bromley 006D;186;1221
E01000715;Bromley 012C;186;1037
E01000716;Bromley 011C;220;968
E01000717;Bromley 011D;192;1064
E01000718;Bromley 006E;413;1279
E01000719;Bromley 019A;380;1039
E01000720;Bromley 019B;443;1045
E01000721;Bromley 019C;377;799
E01000722;Bromley 023A;312;988
E01000723;Bromley 029A;189;784
E01000724;Bromley 019D;429;917
E01000725;Bromley 023B;331;1058
E01000726;Bromley 029B;209;777
E01000727;Bromley 028A;302;949
E01000728;Bromley 019E;239;903
E01000729;Bromley 014A;384;921
E01000730;Bromley 014B;496;991
E01000731;Bromley 023C;332;862
E01000732;Bromley 023D;283;893
E01000733;Bromley 023E;323;986
E01000734;Bromley 028B;277;836
E01000735;Bromley 014C;385;866
E01000736;Bromley 010C;357;920
E01000737;Bromley 010D;279;828
E01000738;Bromley 014D;303;898
E01000739;Bromley 014E;409;876
E01000740;Bromley 005A;357;1244
E01000741;Bromley 005B;252;1198
E01000742;Bromley 005C;322;1385
E01000743;Bromley 009A;336;1147
E01000744;Bromley 009B;347;991
E01000745;Bromley 005D;279;1252
E01000746;Bromley 005E;301;1259
E01000747;Bromley 038C;289;1038
E01000748;Bromley 038D;246;974
E01000749;Bromley 036A;279;931
E01000750;Bromley 036B;318;939
E01000751;Bromley 036C;398;1170
E01000752;Bromley 036D;260;855
E01000753;Bromley 031A;318;943
E01000754;Bromley 031B;327;996
E01000755;Bromley 031C;317;842
E01000756;Bromley 033D;337;945
E01000757;Bromley 031D;265;911
E01000758;Bromley 031E;289;890
E01000759;Bromley 034A;356;973
E01000760;Bromley 034B;273;861
E01000761;Bromley 034C;351;970
E01000762;Bromley 018D;226;891
E01000763;Bromley 027A;305;932
E01000764;Bromley 027B;360;959
E01000765;Bromley 034D;324;1050
E01000766;Bromley 027C;346;1038
E01000767;Bromley 027D;351;1052
E01000768;Bromley 034E;280;938
E01000769;Bromley 024A;290;924
E01000770;Bromley 012D;206;822
E01000771;Bromley 017C;301;1009
E01000772;Bromley 012E;208;865
E01000773;Bromley 024B;324;870
E01000774;Bromley 017D;328;979
